"StateFIPS","State","Year","Value","Data Comment",
"51","Virginia","2013","17.8","",
"51","Virginia","2014","16.9","",
"51","Virginia","2015","17.2","",
"51","Virginia","2016","17.3","",
"51","Virginia","2017","17.0","",
"51","Virginia","2018","16.9","",
"51","Virginia","2019","16.8","",
"51","Virginia","2020","16.2","",
"53","Washington","2011","20.9","",
"53","Washington","2012","21.1","",
"53","Washington","2013","20.7","",
"53","Washington","2014","20.5","",
"53","Washington","2015","19.9","",
"53","Washington","2016","19.4","",
"53","Washington","2017","19.7","",
"53","Washington","2018","19.9","",
"53","Washington","2019","19.6","",
"53","Washington","2020","17.5","",
"54","West Virginia","2011","19.4","",
"54","West Virginia","2012","19.4","",
"54","West Virginia","2013","19.7","",
"54","West Virginia","2014","18.1","",
"54","West Virginia","2015","19.8","",
"54","West Virginia","2016","20.4","",
"54","West Virginia","2017","19.6","",
"54","West Virginia","2018","19.8","",
"54","West Virginia","2019","20.6","",
"54","West Virginia","2020","17.6","",
"55","Wisconsin","2011","21.9","",
"55","Wisconsin","2012","21.5","",
"55","Wisconsin","2013","20.7","",
"55","Wisconsin","2014","21.6","",
"55","Wisconsin","2015","21.5","",
"55","Wisconsin","2016","21.4","",
"55","Wisconsin","2017","20.8","",
"55","Wisconsin","2018","21.2","",
"55","Wisconsin","2019","21.6","",
"55","Wisconsin","2020","18.9","",
"56","Wyoming","2011","17.2","",
"56","Wyoming","2012","14.0","",
"56","Wyoming","2013","18.2","",
"56","Wyoming","2014","17.1","",
"56","Wyoming","2015","18.0","",
"56","Wyoming","2016","16.1","",
"56","Wyoming","2017","14.8","",
"56","Wyoming","2018","17.2","",
"56","Wyoming","2019","18.1","",
"56","Wyoming","2020","13.6","",
"72","Puerto Rico","2011","No Data","Unstable",
"72","Puerto Rico","2012","No Data","Unstable",
"72","Puerto Rico","2013","No Data","Unstable",
"72","Puerto Rico","2014","No Data","Unstable",
"72","Puerto Rico","2015","No Data","Unstable",
"72","Puerto Rico","2016","No Data","Unstable",
"72","Puerto Rico","2017","No Data","Unstable",
"72","Puerto Rico","2018","No Data","Unstable",
"72","Puerto Rico","2019","No Data","Unstable",
"72","Puerto Rico","2020","No Data","Unstable",
