"StateFIPS","State","Year","Value","Data Comment",
"54","West Virginia","2014","9.0","",
"54","West Virginia","2015","8.3","",
"54","West Virginia","2016","9.1","",
"54","West Virginia","2017","11.6","",
"54","West Virginia","2018","10.6","",
"54","West Virginia","2019","7.6","",
"54","West Virginia","2020","8.9","",
"55","Wisconsin","2011","5.9","",
"55","Wisconsin","2012","6.4","",
"55","Wisconsin","2013","5.6","",
"55","Wisconsin","2014","6.7","",
"55","Wisconsin","2015","7.3","",
"55","Wisconsin","2016","7.1","",
"55","Wisconsin","2017","6.0","",
"55","Wisconsin","2018","6.1","",
"55","Wisconsin","2019","6.2","",
"55","Wisconsin","2020","5.3","",
"56","Wyoming","2011","11.3","",
"56","Wyoming","2012","6.6","",
"56","Wyoming","2013","6.0","",
"56","Wyoming","2014","6.2","",
"56","Wyoming","2015","Suppressed","",
"56","Wyoming","2016","5.9","",
"56","Wyoming","2017","9.4","",
"56","Wyoming","2018","11.0","",
"56","Wyoming","2019","10.5","",
"56","Wyoming","2020","7.2","",
"72","Puerto Rico","2011","No Data","Unstable",
"72","Puerto Rico","2012","No Data","Unstable",
"72","Puerto Rico","2013","No Data","Unstable",
"72","Puerto Rico","2014","No Data","Unstable",
"72","Puerto Rico","2015","No Data","Unstable",
"72","Puerto Rico","2016","No Data","Unstable",
"72","Puerto Rico","2017","No Data","Unstable",
"72","Puerto Rico","2018","No Data","Unstable",
"72","Puerto Rico","2019","No Data","Unstable",
"72","Puerto Rico","2020","No Data","Unstable",
